"BUILDING.ID","BUILDING.ADDRESS","POSTAL.CODE","Longitude","Latitude","Census_Tract_GEOID"
"459453859622","6753 HOLLYWOOD BLVD","90028",-118.33765,34.10156,"6037190202"
"459515859266","1655 N MCCADDEN PL","90028",-118.33698,34.100697,"6037190700"
"459527857822","6717 LELAND WAY","90028",-118.33688,34.09665,"6037190700"
"459530860526","1800 N HIGHLAND AVE","90028",-118.33827,34.10419,"6037190202"
"459548827498","3901 MARLTON AVE","90008",-118.33739,34.012783,"6037236100"
"459554860297","6735 W YUCCA ST","90028",-118.33721,34.103188,"6037190202"
"459563858310","6725 W SUNSET BLVD","90028",-118.33718,34.09798,"6037190700"
"459573858955","1607 N MCCADDEN PL","90028",-118.336975,34.09986,"6037190700"
"459597855056","6721 ROMAINE ST","90038",-118.33656,34.088917,"6037191901"
"459608859394","6724 HOLLYWOOD BLVD","90028",-118.33702,34.10155,"6037190700"
"459617861505","2014 N HIGHLAND AVE","90068",-118.33747,34.10695,"6037189702"
"459631860394","6720 FRANKLIN PL","90028",-118.33671,34.10414,"6037190202"
"459634826389","3650 W MARTIN LUTHER KING JR BLVD","90008",-118.33653,34.011528,"6037236100"
"459643861062","1922 N HIGHLAND AVE","90068",-118.33746,34.105717,"6037189702"
"459683825923","4101 CRENSHAW BLVD","90008",-118.335106,34.01073,"6037236100"
"459702856515","1223 N LAS PALMAS AVE","90038",-118.3363,34.09307,"6037191901"
"459722860158","6711 YUCCA ST","90028",-118.33652,34.10319,"6037190202"
"459761859132","6708 HOLLYWOOD BLVD","90028",-118.336464,34.101555,"6037190700"
"459781859602","6701 HOLLYWOOD BLVD","90028",-118.336205,34.101566,"6037190202"
"459784860889","6701 FRANKLIN AVE","90028",-118.3361,34.105186,"6037189702"
"459791859915","1737 N LAS PALMAS AVE","90028",-118.33615,34.10264,"6037190202"
"459794858620","1535 N LAS PALMAS AVE","90028",-118.33632,34.09863,"6037190700"
"459795857143","1321 N LAS PALMAS AVE","90028",-118.33632,34.094837,"6037190700"
"459818861598","2037 N LAS PALMAS AVE","90068",-118.336334,34.106907,"6037189702"
"459833922388","9511 CONOVER ST","91342",,,
"459840858010","6690 W SUNSET BLVD","90028",-118.336334,34.097973,"6037190700"
"459851860396","6700 FRANKLIN PL","90028",-118.33633,34.104145,"6037190202"
"459866826940","4005 CRENSHAW BLVD","90008",-118.335106,34.01119,"6037236100"
"459892856645","1234 N LAS PALMAS AVE","90038",-118.336296,34.09326,"6037191901"
"459897845051","4848 W WILSHIRE BLVD","90010",-118.335976,34.06206,"6037211000"
"459904839961","4550 W PICO BLVD","90019",-118.33485,34.04862,"6037217200"
"459905856552","1220 N LAS PALMAS AVE","90038",-118.336296,34.09304,"6037191901"
"459910856415","1210 N LAS PALMAS AVE","90038",-118.336296,34.092884,"6037191901"
"459913858726","6684 SELMA AVE","90028",-118.33585,34.099697,"6037190700"
"459917827586","3901 CRENSHAW BLVD","90008",-118.335106,34.01141,"6037236100"
"459952829631","3737 CRENSHAW BLVD","90016",-118.335106,34.019245,"6037219500"
"460013829906","3683 CRENSHAW BLVD","90016",-118.335106,34.02043,"6037219500"
"460030832144","3045 CRENSHAW BLVD","90016",-118.335106,34.027267,"6037220000"
"460058834637","4411 W ADAMS BLVD","90016",-118.335464,34.032585,"6037218702"
"460113856077","6666 LEXINGTON AVE","90038",-118.33545,34.09258,"6037191901"
"460151814044","6808 WEST BLVD","90043",-118.3352,33.9767,"6037235202"
"460153860360","1825 N CHEROKEE AVE","90028",-118.33477,34.103775,"6037190202"
"460154815801","6400 WEST BLVD","90043",-118.33518,33.981663,"6037234902"
"460155816204","6310 WEST BLVD","90043",-118.3352,33.982533,"6037234902"
"460176835011","2300 S VICTORIA AVE","90016",-118.33549,34.03423,"6037218702"
"460178858309","6657 W SUNSET BLVD","90028",-118.33517,34.097984,"6037190700"
"460188859370","6650 HOLLYWOOD BLVD","90028",-118.33513,34.101562,"6037190700"
"460215860550","1843 N CHEROKEE AVE","90028",-118.33477,34.104088,"6037190202"
"460237856340","1210 N CHEROKEE AVE","90038",-118.33521,34.092888,"6037191901"
"460238828319","3860 CRENSHAW BLVD","90008",-118.33488,34.01696,"6037234200"
"460238860759","6650 FRANKLIN AVE","90028",-118.33487,34.105183,"6037190202"
"460239831556","3500 S CRENSHAW BLVD","90016",-118.33509,34.024796,"6037219300"
"460260859877","1733 N CHEROKEE AVE","90028",-118.33476,34.102158,"6037190202"
"460267826823","4030 CRENSHAW BLVD","90008",-118.33488,34.011845,"6037234200"
"460275827318","3936 CRENSHAW BLVD","90008",-118.33488,34.013668,"6037234200"
"460275860932","6651 FRANKLIN AVE","90028",-118.33487,34.105194,"6037189600"
"460285828922","3770 CRENSHAW BLVD","90016",-118.33488,34.017258,"6037234200"
"460297833193","2900 CRENSHAW BLVD","90016",-118.3351,34.0301,"6037219300"
"460312827597","3916 CRENSHAW BLVD","90008",-118.33488,34.014057,"6037234200"
"460312828125","3876 CRENSHAW BLVD","90008",-118.33488,34.01609,"6037234200"
"460316859411","6646 HOLLYWOOD BLVD","90028",-118.33459,34.101566,"6037190700"
"460317813520","7107 BRYNHURST AVE","90043",-118.3338,33.975494,"6037235202"
"460338855751","6641 SANTA MONICA BLVD","90038",-118.33449,34.09073,"6037191901"
"460382829687","3700 CRENSHAW BLVD","90016",-118.33509,34.02058,"6037234200"
"460386860449","1830 N CHEROKEE AVE","90028",-118.334755,34.103878,"6037190202"
"460389816704","6119 BRYNHURST AVE","90043",-118.33378,33.984356,"6037234902"
"460389860521","1842 N CHEROKEE AVE","90028",-118.334755,34.104088,"6037190202"
"460456860163","6633 YUCCA ST","90028",-118.33424,34.103207,"6037190202"
"460466844950","4750 WILSHIRE BLVD","90010",-118.333725,34.062016,"6037211000"
"460469857978","6619 LELAND WAY","90028",-118.333694,34.09702,"6037190700"
"460476830966","3602 CRENSHAW BLVD","90016",-118.33509,34.02384,"6037219300"
"460484829231","3740 CRENSHAW BLVD","90016",-118.33509,34.020016,"6037234200"
"460487863179","2330 N CAHUENGA BLVD","90068",-118.3343,34.111378,"6037189701"
"460507860749","6626 FRANKLIN AVE","90028",-118.33411,34.105186,"6037190202"
"460508860035","1746 N CHEROKEE AVE","90028",-118.33475,34.102356,"6037190202"
"460566856807","1254 N JUNE ST","90038",-118.334206,34.093582,"6037191901"
"460585853005","6121 W MELROSE AVE","90038",-118.3334,34.08349,"6037191902"
"460604856457","1224 N JUNE ST","90038",-118.334206,34.09311,"6037191901"
"460609840626","1259 WEST BLVD","90019",-118.33327,34.049812,"6037212800"
"460622861044","6615 FRANKLIN AVE","90028",-118.33381,34.1052,"6037189600"
"460629845271","4751 WILSHIRE BLVD","90010",-118.33304,34.06201,"6037211000"
"460634860025","6600 YUCCA ST","90028",-118.33345,34.1032,"6037190202"
"460645860431","1831 WHITLEY AVE","90028",-118.33335,34.103985,"6037190202"
"460645860556","1837 WHITLEY AVE","90028",-118.33335,34.104076,"6037190202"
"460645860657","1853 WHITLEY AVE","90028",-118.33335,34.10433,"6037190202"
"460668859937","1737 WHITLEY AVE","90028",-118.333336,34.10221,"6037190202"
"460679859589","6601 HOLLYWOOD BLVD","90028",-118.33344,34.101585,"6037190202"
"460686860231","1811 WHITLEY AVE","90028",-118.33334,34.10367,"6037190202"
"460691860773","1861 WHITLEY AVE","90028",-118.33335,34.104454,"6037190202"
"460696859350","6608 HOLLYWOOD BLVD","90028",-118.33364,34.101574,"6037190700"
"460696860378","1825 WHITLEY AVE","90028",-118.33335,34.10389,"6037190202"
"460702855145","6601 ROMAINE ST","90038",-118.33341,34.088924,"6037191901"
"460704861212","1929 WHITLEY AVE","90068",-118.33336,34.106133,"6037189600"
"460723855683","6601 SANTA MONICA BLVD","90038",-118.33342,34.09073,"6037191901"
"460733856809","1255 SEWARD ST","90038",-118.3332,34.093796,"6037191901"
"460809875798","6510 FOREST LAWN DR","90068",-118.33031,34.148197,"6037980009"
"460826861311","1944 WHITLEY AVE","90068",-118.33334,34.106495,"6037189600"
"460829834296","4332 W ADAMS BLVD","90018",-118.33316,34.03258,"6037219300"
"460834858334","6565 W SUNSET BLVD","90028",-118.33276,34.097992,"6037190700"
"460838860447","1820 WHITLEY AVE","90028",-118.333336,34.10383,"6037190202"
"460865859431","6554 HOLLYWOOD BLVD","90028",-118.3327,34.101578,"6037190700"
"460867840811","1240 S WEST BLVD","90019",-118.33298,34.050507,"6037212800"
"460876860669","1850 WHITLEY AVE","90028",-118.333336,34.104298,"6037190202"
"460880854710","936 SEWARD ST","90038",-118.33315,34.08819,"6037191810"
"460890858123","6536 W SUNSET BLVD","90028",-118.332664,34.09798,"6037190802"
"460902830465","3335 EXPOSITION PL","90018",-118.332146,34.021385,"6037234200"
"460903859958","1738 WHITLEY AVE","90028",-118.33333,34.102238,"6037190201"
"460915845000","4700 WILSHIRE BLVD","90010",-118.33304,34.062004,"6037211000"
"460917845212","4727 WILSHIRE BLVD","90010",-118.33241,34.062,"6037211000"
"460930854413","900 SEWARD ST","90038",-118.33315,34.08782,"6037191810"
"460936859106","1625 N HUDSON AVE","90028",,,
"460951860113","6550 YUCCA ST","90028",-118.332466,34.103367,"6037190201"
"460972858763","6600 SELMA AVE","90028",-118.33257,34.099754,"6037190700"
"460982861358","1959 GRACE AVE","90068",-118.3332,34.10769,"6037189600"
"460990857139","6565 FOUNTAIN AVE","90028",-118.332405,34.09434,"6037190802"
"461000817159","6028 S VICTORIA AVE","90043",-118.33231,33.984993,"6037234902"
"461000823758","4401 CRENSHAW BLVD","90043",-118.33082,34.00352,"6037234502"
"461026860548","1823 GRACE AVE","90028",-118.3322,34.104313,"6037190202"
"461031830711","3320 W 36TH ST","90018",-118.332016,34.023426,"6037219300"
"461072859428","6524 HOLLYWOOD BLVD","90028",-118.33191,34.101585,"6037190700"
"461079860990","6543 FRANKLIN AVE","90028",-118.33271,34.105244,"6037189600"
"461085859653","6531 HOLLYWOOD BLVD","90028",-118.332085,34.101593,"6037190201"
"461101855677","6539 SANTA MONICA BLVD","90038",-118.33218,34.090733,"6037190802"
"461112858759","1552 SCHRADER BLVD","90028",-118.33246,34.09892,"6037190700"
"461131860300","1801 GRACE AVE","90028",-118.33219,34.104073,"6037190202"
"461165858292","6525 W SUNSET BLVD","90028",-118.33195,34.097992,"6037190700"
"461167830402","3217 EXPOSITION PL","90018",-118.33112,34.021156,"6037234200"
"461174860932","1900 GRACE AVE","90068",-118.33318,34.107437,"6037189600"
"461211843399","4625 W OLYMPIC BLVD","90019",-118.33196,34.05641,"6037212702"
"461215857390","6530 DE LONGPRE AVE","90028",-118.33169,34.096146,"6037190802"
"461228816898","6103 CRENSHAW BLVD","90043",-118.33084,33.98429,"6037234902"
"461233814841","6627 CRENSHAW BLVD","90043",-118.33087,33.978825,"6037234902"
"461235819722","5401 CRENSHAW BLVD","90043",-118.33102,33.992943,"6037234600"
"461274812865","7301 S CRENSHAW BLVD","90043",-118.330864,33.973545,"6037235202"
"461276858311","6515 W SUNSET BLVD","90028",-118.331635,34.097992,"6037190700"
"461287844955","4680 WILSHIRE BLVD","90010",-118.331345,34.06197,"6037212702"
"461288860116","1745 WILCOX AVE","90028",-118.33102,34.097187,"6037190802"
"461313860309","6500 YUCCA ST","90028",-118.33163,34.10391,"6037190201"
"461321856418","6510 LA MIRADA AVE","90038",-118.33144,34.093433,"6037190802"
"461331858315","6507 W SUNSET BLVD","90028",-118.33134,34.097992,"6037190700"
"461339859610","6505 HOLLYWOOD BLVD","90028",-118.33124,34.1016,"6037190201"
"461346860435","6501 YUCCA ST","90028",-118.33109,34.103924,"6037190201"
"461350834573","4211 W ADAMS BLVD","90018",-118.330956,34.0326,"6037218702"
"461355824150","3341 W 43RD PL","90008",-118.33089,34.005985,"6037234300"
"461364858087","6464 W SUNSET BLVD","90028",-118.331055,34.097984,"6037190802"
"461370858800","1557 WILCOX AVE","90028",-118.33102,34.096703,"6037190802"
"461371853107","711 WILCOX AVE","90038",-118.33097,34.08377,"6037191820"
"461381858675","1545 WILCOX AVE","90028",-118.33102,34.096672,"6037190802"
"461382853760","817 WILCOX AVE","90038",-118.33097,34.085686,"6037191820"
"461388853846","825 WILCOX AVE","90038",-118.33098,34.08581,"6037191820"
"461392857464","6520 DE LONGPRE AVE","90028",-118.331375,34.096146,"6037190802"
"461399862650","2212 N CAHUENGA BLVD","90068",-118.331696,34.1103,"6037189600"
"461454830331","3201 EXPOSITION PL","90018",-118.330986,34.021126,"6037234200"
"461493861524","1963 N CAHUENGA BLVD","90068",-118.33067,34.106678,"6037189600"
"461506860198","1760 WILCOX AVE","90028",-118.331,34.09723,"6037190802"
"461516816845","6030 CRENSHAW BLVD","90043",-118.330826,33.98499,"6037234901"
"461528860128","1750 WILCOX AVE","90028",-118.331,34.097202,"6037190802"
"461541862338","2116 N CAHUENGA BLVD","90068",-118.3311,34.10949,"6037189600"
"461543855413","6464 SANTA MONICA BLVD","90038",-118.33044,34.090725,"6037191810"
"461544858703","1550 WILCOX AVE","90028",-118.331,34.096687,"6037190802"
"461565857420","1358 N WILCOX AVE","90028",-118.330986,34.095867,"6037190802"
"461569854443","916 WILCOX AVE","90038",-118.33097,34.0875,"6037191810"
"461571860286","6434 YUCCA ST","90028",-118.33019,34.103916,"6037190201"
"461576859113","1622 WILCOX AVE","90028",-118.331,34.096874,"6037190802"
"461615856981","6501 W FOUNTAIN AVE","90028",-118.331024,34.09435,"6037190802"
"461616859730","6425 HOLLYWOOD BLVD","90028",-118.32996,34.10161,"6037190201"
"461628858541","1520 WILCOX AVE","90028",-118.331,34.09661,"6037190802"
"461632830784","3629 11TH AVE","90018",-118.32954,34.022514,"6037219300"
"461654830282","3101 EXPOSITION PL","90018",-118.33013,34.02093,"6037234200"
"461657860646","1825 N CAHUENGA BLVD","90028",-118.33001,34.10455,"6037190201"
"461670817983","3240 W SLAUSON AVE","90043",-118.32871,33.989017,"6037234700"
"461684856005","6446 LEXINGTON AVE","90038",-118.33041,34.09254,"6037190802"
"461691854100","6202 WILLOUGHBY AVE","90038",-118.32998,34.087105,"6037191820"
"461720860101","1747 N CAHUENGA BLVD","90028",-118.32955,34.102734,"6037190201"
"461727857354","1327 N COLE AVE","90028",-118.32989,34.094624,"6037190802"
"461739858941","6417 SELMA AVE","90028",-118.32985,34.099777,"6037190700"
"461753857464","1355 N COLE AVE","90028",-118.32989,34.09484,"6037190802"
"461764858740","1531 N CAHUENGA BLVD","90028",-118.32952,34.098602,"6037190700"
"461768859163","1635 N CAHUENGA BLVD","90028",-118.32954,34.100464,"6037190700"
"461773823780","4411 11TH AVE","90043",-118.329346,34.00342,"6037234502"
