building id,building name,user defined building id,ubid,building type,year built (year),height (m),number of stories,total floor area (m2),baseline annual site energy use intensity (kWh/m2),baseline annual source energy use intensity (kWh/m2),baseline annual operational GHG emission intensity (kg/m2),baseline peak electricity load intensity(W/m2),baseline annual electricity use intensity (kWh/m2),baseline annual natural gas use intensity (kWh/m2),baseline annual electricity for heating (kWh/m2),baseline annual electricity for cooling (kWh/m2),baseline annual electricity for interior lighting (kWh/m2),baseline annual electricity for exterior lighting (kWh/m2),baseline annual electricity for interior equipment (kWh/m2),baseline annual electricity for exterior equipment (kWh/m2),baseline annual electricity for fans (kWh/m2),baseline annual electricity for pumps (kWh/m2),baseline annual electricity for water systems (kWh/m2),baseline annual electricity for refrigeration (kWh/m2),baseline annual natural gas for heating (kWh/m2),baseline annual natural gas for water systems (kWh/m2),baseline annual water for water systems (m3/m2),baseline average monthly peak electricity (kW),baseline cooling capacity (kW),baseline heating capacity (kW),simulation time (s),retrofit package id,retrofit package name,retrofit package ECM IDs,retrofit annual electricity for heating (kWh/m2),retrofit annual electricity for cooling (kWh/m2),retrofit annual electricity for interior lighting (kWh/m2),retrofit annual electricity for exterior lighting (kWh/m2),retrofit annual electricity for interior equipment (kWh/m2),retrofit annual electricity for exterior equipment (kWh/m2),retrofit annual electricity for fans (kWh/m2),retrofit annual electricity for pumps (kWh/m2),retrofit annual electricity for water systems (kWh/m2),retrofit annual electricity for refrigeration (kWh/m2),retrofit annual natural gas for heating (kWh/m2),retrofit annual natural gas for water systems (kWh/m2),retrofit annual water for water systems (m3/m2),retrofit average monthly peak electricity (kW),retrofit cooling capacity (kW),retrofit heating capacity (kW),annual site energy use intensity saving (kWh/m2),annual source energy use intensity saving (kWh/m2),annual operational GHG emission intensity reduction (kg/m2),peak electricity load intensity reduction (W/m2),annual electricity use intensity saving (kWh/m2),annual natural gas use intensity saving (kWh/m2),annual electricity cost saving ($),annual natural gas cost saving ($),annual energy cost saving ($),investment cost ($),incentive amount (%),payback year (year),embodied GHG emission (kg),life cycle GHG emission (kg),Applicable ECM ID 1,Applicable ECM name 1,Applicable ECM ID 2,Applicable ECM name 2,Applicable ECM ID 3,Applicable ECM name 3,Applicable ECM ID 4,Applicable ECM name 4,Applicable ECM ID 5,Applicable ECM name 5,Applicable ECM ID 6,Applicable ECM name 6,Applicable ECM ID 7,Applicable ECM name 7,Applicable ECM ID 8,Applicable ECM name 8,Applicable ECM ID 9,Applicable ECM name 9,Applicable ECM ID 10,Applicable ECM name 10,Applicable ECM ID 11,Applicable ECM name 11,Applicable ECM ID 12,Applicable ECM name 12,Applicable ECM ID 13,Applicable ECM name 13,Applicable ECM ID 14,Applicable ECM name 14,Applicable ECM ID 15,Applicable ECM name 15,Applicable ECM ID 16,Applicable ECM name 16,Applicable ECM ID 17,Applicable ECM name 17,Applicable ECM ID 18,Applicable ECM name 18,Applicable ECM ID 19,Applicable ECM name 19,Applicable ECM ID 20,Applicable ECM name 20\
7622806,,,3.90178E+11,Large Office,1989,9.66,3,9537.5307,190.9952,586.4948,36.35972904,50.7494,184.665,6.3302,0,31.3594,55.0383,5.79514,65.3296,11.4135,5.42088,9.04464,0,0,3.77628,2.55389,0.0693618,446.756,785.898,220.679,84.5,,baseline\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622806,,,3.90178E+11,Large Office,1989,9.66,3,9537.5307,190.9952,586.4948,36.35972904,50.7494,184.665,6.3302,0,31.3594,55.0383,5.79514,65.3296,11.4135,5.42088,9.04464,0,0,3.77628,2.55389,0.0693618,446.756,785.898,220.679,84.5,931,ECM Package 1,1;31;58;33;47;46;30;17;18,0,20.2471,20.5645,5.79514,65.3296,11.4135,2.32022,9.00099,0,0,0.531443,2.1486,0.0693618,306.013,785.898,220.679,52.7115,157.8853,10.01662797,14.2994,49.0613,3.6501,76351.17,1089.28,77440.45,143709.97,0,1.86,,,1,Replace existing lighting with T8 upgrade (0.7W/sf),31,Install daylighting sensors for interior lighting control,58,Clean Coils and Fins,33,Replace Air Filter,47,Reduce HVAC equipment runtime,46,Widen zone temperature deadband (cooling: +2 oF; heating: -2 oF),30,Add Programmable Thermostat,17,Apply Cool Roof Coating with Reflectivity,18,Efficiency Upgrade of the Gas Storage Water Heater (0.93),\,,,,,,,,,,,,,,,,,,,,,
7622809,,,3.89704E+11,Large Office,1984,10.21,3,11647.7364,190.1382,584.3021,36.19861387,50.918,184.0464,6.0918,0,30.8777,55.0383,5.79514,65.3296,11.4135,5.48738,8.85522,0,0,3.58368,2.50809,0.069362,544.074,938.887,266.4,85.28,,baseline\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622809,,,3.89704E+11,Large Office,1984,10.21,3,11647.7364,190.1382,584.3021,36.19861387,50.918,184.0464,6.0918,0,30.8777,55.0383,5.79514,65.3296,11.4135,5.48738,8.85522,0,0,3.58368,2.50809,0.069362,544.074,938.887,266.4,85.28,931,ECM Package 1,1;31;58;33;47;46;30;17;18,0,19.9452,20.7325,5.79514,65.3296,11.4135,2.3276,8.82202,0,0,0.528505,2.10961,0.069362,372.807,938.887,266.4,52.2132,156.7312,9.923460584,15.0919,48.7595,3.4537,92670.45,1258.68,93929.13,168262.14,0,1.79,,,1,Replace existing lighting with T8 upgrade (0.7W/sf),31,Install daylighting sensors for interior lighting control,58,Clean Coils and Fins,33,Replace Air Filter,47,Reduce HVAC equipment runtime,46,Widen zone temperature deadband (cooling: +2 oF; heating: -2 oF),30,Add Programmable Thermostat,17,Apply Cool Roof Coating with Reflectivity,18,Efficiency Upgrade of the Gas Storage Water Heater (0.93),\,,,,,,,,,,,,,,,,,,,,,
7622814,,,3.90575E+11,Large Office,1984,9.34,3,22656.0624,185.8748,574.3284,35.40111194,50.8604,181.4162,4.4585,0,29.0342,55.0383,5.79514,65.3296,11.4136,5.37668,8.24599,0,0,2.04772,2.41081,0.0693616,1033.86,1697.03,482.988,84.83,,baseline\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622814,,,3.90575E+11,Large Office,1984,9.34,3,22656.0624,185.8748,574.3284,35.40111194,50.8604,181.4162,4.4585,0,29.0342,55.0383,5.79514,65.3296,11.4136,5.37668,8.24599,0,0,2.04772,2.41081,0.0693616,1033.86,1697.03,482.988,84.83,931,ECM Package 1,1;31;58;33;47;46;30;17;18,0,18.8994,21.5552,5.79514,65.3296,11.4136,2.29786,8.25406,0,0,0.429711,2.02779,0.0693616,717.627,1697.03,482.988,48.9956,149.664,9.323723886,15.659,46.9945,2.001,173728.96,1418.51,175147.47,291581.97,0,1.66,,,1,Replace existing lighting with T8 upgrade (0.7W/sf),31,Install daylighting sensors for interior lighting control,58,Clean Coils and Fins,33,Replace Air Filter,47,Reduce HVAC equipment runtime,46,Widen zone temperature deadband (cooling: +2 oF; heating: -2 oF),30,Add Programmable Thermostat,17,Apply Cool Roof Coating with Reflectivity,18,Efficiency Upgrade of the Gas Storage Water Heater (0.93),\,,,,,,,,,,,,,,,,,,,,,
7622817,,,3.8296E+11,Multi Family House,1986,10.84,3,3214.671,96.1825,219.8014,17.96751636,20.6867,56.8468,39.3357,0,9.25214,11.6193,2.01294,31.9325,0,1.70037,0.329508,0,0,3.88556,23.7693,0.794423,51.7329,84.1744,61.4772,353.39,,baseline\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622817,,,3.8296E+11,Multi Family House,1986,10.84,3,3214.671,96.1825,219.8014,17.96751636,20.6867,56.8468,39.3357,0,9.25214,11.6193,2.01294,31.9325,0,1.70037,0.329508,0,0,3.88556,23.7693,0.794423,51.7329,84.1744,61.4772,353.39,931,ECM Package 1,17;18;49,1.61077,8.54247,11.6193,2.01294,31.9325,0,13.1519,0.329508,0,0,0,19.3374,0.794423,60.5488,101.248,183.704,-4.0351,-30.0539,-0.848304018,-1.5324,-12.3527,8.3175,-6479.43,836.62,-5642.82,112810.54,0,,,,17,Apply Cool Roof Coating with Reflectivity,18,Efficiency Upgrade of the Gas Storage Water Heater (0.93),49,"Upgrade to Single-Zone Heat Pump (9.5 EER, 3.2 COP)",\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622811,,,3.90138E+11,Large Office,1989,11.33,4,13868.5532,188.9509,583.7882,35.98678734,52.7354,184.397,4.5538,0,31.0838,55.0383,5.79514,65.3296,11.4136,5.62148,8.85495,0,0,2.0781,2.47573,0.069362,651.444,1118.18,300.358,94.96,,baseline\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622811,,,3.90138E+11,Large Office,1989,11.33,4,13868.5532,188.9509,583.7882,35.98678734,52.7354,184.397,4.5538,0,31.0838,55.0383,5.79514,65.3296,11.4136,5.62148,8.85495,0,0,2.0781,2.47573,0.069362,651.444,1118.18,300.358,94.96,931,ECM Package 1,1;31;58;33;47;46;30;17;18,0,19.6174,20.5133,5.79514,65.3296,11.4136,2.36887,8.81418,0,0,0.340943,2.08188,0.069362,445.794,1118.18,300.358,51.76,158.0725,9.849616132,17.2057,49.6289,2.131,112306.93,924.72,113231.65,198150.66,0,1.75,,,1,Replace existing lighting with T8 upgrade (0.7W/sf),31,Install daylighting sensors for interior lighting control,58,Clean Coils and Fins,33,Replace Air Filter,47,Reduce HVAC equipment runtime,46,Widen zone temperature deadband (cooling: +2 oF; heating: -2 oF),30,Add Programmable Thermostat,17,Apply Cool Roof Coating with Reflectivity,18,Efficiency Upgrade of the Gas Storage Water Heater (0.93),\,,,,,,,,,,,,,,,,,,,,,
